,from,to,distance
433,Schrobenhausen,"Weißenburg, Bayern",71377.1
434,Schrobenhausen,Freising,45381.6
435,Schrobenhausen,Moosburg a.d. Isar,57314.2
436,Schrobenhausen,Vilsbiburg,118479.3
437,Schrobenhausen,Landau a.d. Isar,127662.9
438,Schrobenhausen,Mainburg,52169.5
439,Schrobenhausen,Abensberg,62112.5
440,Schrobenhausen,Schierling,96657.4
441,Schrobenhausen,Schrobenhausen,0.0
442,Schrobenhausen,Erding,77901.5
443,Schrobenhausen,Pfarrkirchen,184898.4
444,Schrobenhausen,Osterhofen,192556.3
445,Schrobenhausen,Eichstätt,46730.5
446,Schrobenhausen,Neuburg a.d. Donau,25634.5
447,Schrobenhausen,Kösching,48810.6
448,Schrobenhausen,Pfaffenhofen a.d. Ilm,22178.2
449,Schrobenhausen,München,77884.0
450,Erding,Augsburg,101053.3
451,Erding,Ingolstadt,84206.3
452,Erding,Regensburg,107800.8
453,Erding,Landshut,43012.1
454,Erding,Straubing,112797.7
455,Erding,Passau,162736.8
456,Erding,Deggendorf,114726.5
457,Erding,Burghausen,92395.9
458,Erding,"Weißenburg, Bayern",138975.1
459,Erding,Freising,20993.8
460,Erding,Moosburg a.d. Isar,21132.9
461,Erding,Vilsbiburg,41522.4
462,Erding,Landau a.d. Isar,90430.3
463,Erding,Mainburg,49709.1
464,Erding,Abensberg,82950.5
465,Erding,Schierling,82009.5
466,Erding,Schrobenhausen,77901.5
467,Erding,Erding,0.0
468,Erding,Pfarrkirchen,104595.8
469,Erding,Osterhofen,119221.0
470,Erding,Eichstätt,112673.6
471,Erding,Neuburg a.d. Donau,99342.5
472,Erding,Kösching,89768.5
473,Erding,Pfaffenhofen a.d. Ilm,56609.0
474,Erding,München,44190.6
475,Pfarrkirchen,Augsburg,191166.7
476,Pfarrkirchen,Ingolstadt,191203.1
477,Pfarrkirchen,Regensburg,112451.3
478,Pfarrkirchen,Landshut,72033.0
479,Pfarrkirchen,Straubing,67711.9
480,Pfarrkirchen,Passau,58528.2
481,Pfarrkirchen,Deggendorf,70070.3
482,Pfarrkirchen,Burghausen,40513.4
483,Pfarrkirchen,"Weißenburg, Bayern",245972.0
484,Pfarrkirchen,Freising,108479.3
485,Pfarrkirchen,Moosburg a.d. Isar,88917.3
486,Pfarrkirchen,Vilsbiburg,49375.2
487,Pfarrkirchen,Landau a.d. Isar,38020.7
488,Pfarrkirchen,Mainburg,105509.8
489,Pfarrkirchen,Abensberg,136457.4
490,Pfarrkirchen,Schierling,106378.0
491,Pfarrkirchen,Schrobenhausen,184898.4
492,Pfarrkirchen,Erding,104595.8
493,Pfarrkirchen,Pfarrkirchen,0.0
494,Pfarrkirchen,Osterhofen,37917.4
495,Pfarrkirchen,Eichstätt,220147.8
496,Pfarrkirchen,Neuburg a.d. Donau,206816.7
497,Pfarrkirchen,Kösching,197242.8
498,Pfarrkirchen,Pfaffenhofen a.d. Ilm,164083.2
499,Pfarrkirchen,München,125060.1
500,Osterhofen,Augsburg,201385.4
501,Osterhofen,Ingolstadt,183240.8
502,Osterhofen,Regensburg,91884.2
503,Osterhofen,Landshut,79318.2
504,Osterhofen,Straubing,58387.0
505,Osterhofen,Passau,39141.6
506,Osterhofen,Deggendorf,24645.0
507,Osterhofen,Burghausen,78318.1
508,Osterhofen,"Weißenburg, Bayern",233526.2
509,Osterhofen,Freising,117461.7
510,Osterhofen,Moosburg a.d. Isar,98284.1
511,Osterhofen,Vilsbiburg,71678.2
512,Osterhofen,Landau a.d. Isar,38017.8
513,Osterhofen,Mainburg,107567.5
514,Osterhofen,Abensberg,128490.2
515,Osterhofen,Schierling,99559.7
516,Osterhofen,Schrobenhausen,192556.3
517,Osterhofen,Erding,119221.0
518,Osterhofen,Pfarrkirchen,37917.4
519,Osterhofen,Osterhofen,0.0
520,Osterhofen,Eichstätt,177562.7
521,Osterhofen,Neuburg a.d. Donau,200741.9
522,Osterhofen,Kösching,160855.2
